N;Operation;LinkedList [ns];DynamicArray [ns]
10000;push_back;48824;255
10000;push_front;168;32109
10000;pop_back;43976;136
10000;pop_front;353;39799
10000;insert;19827;17812
10000;erase;24105;19791
10000;find;45477;28797
20000;push_back;98424;377
20000;push_front;433;63810
20000;pop_back;93107;140
20000;pop_front;850;79241
20000;insert;51153;37582
20000;erase;50531;33845
20000;find;90844;56762
30000;push_back;153819;410
30000;push_front;235;92710
30000;pop_back;166581;182
30000;pop_front;465;120286
30000;insert;72326;61103
30000;erase;70345;55225
30000;find;115621;77211
40000;push_back;219317;436
40000;push_front;300;120008
40000;pop_back;151871;110
40000;pop_front;417;152497
40000;insert;90728;67188
40000;erase;103792;110991
40000;find;164112;109744
50000;push_back;250791;365
50000;push_front;316;150729
50000;pop_back;193091;105
50000;pop_front;750;205661
50000;insert;124184;85305
50000;erase;115188;84514
50000;find;211875;134542
60000;push_back;283266;341
60000;push_front;435;182242
60000;pop_back;387039;160
60000;pop_front;803;246816
60000;insert;133218;103999
60000;erase;167671;118600
60000;find;258092;164711
70000;push_back;322133;327
70000;push_front;342;201552
70000;pop_back;404623;145
70000;pop_front;976;280245
70000;insert;155928;121094
70000;erase;196446;134284
70000;find;335841;184877
80000;push_back;421855;437
80000;push_front;629;368821
80000;pop_back;368156;163
80000;pop_front;1134;310222
80000;insert;185568;136461
80000;erase;268739;168039
80000;find;411753;213715
90000;push_back;491104;568
90000;push_front;605;320766
90000;pop_back;459121;169
90000;pop_front;1353;413175
90000;insert;235052;163299
90000;erase;294480;171163
90000;find;370583;241176
100000;push_back;554112;534
100000;push_front;595;346212
100000;pop_back;547505;200
100000;pop_front;1387;418852
100000;insert;258210;174829
100000;erase;260941;216951
100000;find;435000;259660
