N;Operation;Case;LinkedList [ns];DynamicArray [ns];LinkedList2 [ns]
10000;push;avg;181657;45233;153224
10000;pop;avg;126;68116;225
10000;peek;avg;47;61;40
10000;size;avg;109895;57;152656
10000;modify;avg;133628;115368;171892
10000;push;best;695;114;451
10000;modify;best;792;30698;705
10000;push;worst;252527;88367;305358
10000;modify;worst;431598;118393;287004
20000;push;avg;108546;40741;107951
20000;pop;avg;145;58601;126
20000;peek;avg;36;34;31
20000;size;avg;219464;41;218055
20000;modify;avg;266493;88416;221738
20000;push;best;884;146;892
20000;modify;best;1174;74854;962
20000;push;worst;225942;90280;203543
20000;modify;worst;771396;163754;776515
30000;push;avg;245816;95269;240999
30000;pop;avg;360;95841;209
30000;peek;avg;45;35;36
30000;size;avg;449831;36;429349
30000;modify;avg;502547;118643;474353
30000;push;best;509;84;925
30000;modify;best;905;112130;786
30000;push;worst;782996;249896;609615
30000;modify;worst;1960509;326241;1492359
40000;push;avg;525267;120230;322028
40000;pop;avg;654;127217;471
40000;peek;avg;50;49;40
40000;size;avg;830525;31;1116545
40000;modify;avg;910791;187718;1198975
40000;push;best;6587;111;10784
40000;modify;best;743;236640;774
40000;push;worst;1498490;318568;1326347
40000;modify;worst;3593720;443841;2720174
50000;push;avg;726027;249415;1169975
50000;pop;avg;545;183240;461
50000;peek;avg;58;60;67
50000;size;avg;1377552;32;1474186
50000;modify;avg;1556640;196708;1121391
50000;push;best;1056;85;346
50000;modify;best;554;153103;633
50000;push;worst;1253413;282694;1487987
50000;modify;worst;4446480;473397;3721315
60000;push;avg;471223;126153;442038
60000;pop;avg;289;211558;312
60000;peek;avg;66;62;56
60000;size;avg;992502;27;977581
60000;modify;avg;1003337;228311;1029990
60000;push;best;1038;150;754
60000;modify;best;1229;182648;1204
60000;push;worst;1384223;374673;1401733
60000;modify;worst;3100970;459909;2802412
70000;push;avg;886870;212245;911953
70000;pop;avg;724;287739;677
70000;peek;avg;69;66;63
70000;size;avg;2072491;30;1852686
70000;modify;avg;2094444;273641;2017604
70000;push;best;844;140;830
70000;modify;best;1159;274084;1130
70000;push;worst;1533969;468010;1749706
70000;modify;worst;4727738;619177;4768234
80000;push;avg;648369;183932;623745
80000;pop;avg;362;307372;232
80000;peek;avg;42;43;38
80000;size;avg;1297438;28;1428936
80000;modify;avg;1339054;288184;1542942
80000;push;best;731;236;700
80000;modify;best;982;263759;972
80000;push;worst;1631757;467556;1503377
80000;modify;worst;3912635;620279;4186590
90000;push;avg;3399350;245745;3122068
90000;pop;avg;1471;403398;1389
90000;peek;avg;74;71;67
90000;size;avg;1850865;27;1741049
90000;modify;avg;6153296;407497;7033950
90000;push;best;480;84;317
90000;modify;best;555;285840;580
90000;push;worst;3412864;545188;1698793
90000;modify;worst;16836707;880296;8977908
100000;push;avg;1200349;245480;2005275
100000;pop;avg;639;337055;465
100000;peek;avg;74;77;73
100000;size;avg;2325162;29;2316951
100000;modify;avg;2714374;349463;2444528
100000;push;best;594;115;713
100000;modify;best;983;322564;1024
100000;push;worst;2252954;449994;2337210
100000;modify;worst;7010912;894011;8489106
